"Reino","Filo","Classe","Ordem","Familia","Genero","Especie","Subespecie","Nome_Cientifico_Anterior","Autor","Nome_Comum","Grupo","Mes_Ano_Avaliacao","Categoria","Possivemente_Extinta","Criterio","Justificativa","Endemica_Brasil","Consta_em_Lista_Nacional_Oficial","Estado","Regiao","Bioma","Bacia_Hidrografica","Unidade_de_Conservacao_Federal","Unidade_de_Conservacao_Estadual","RPPN","Migratoria","Tendencia_Populacional","Ameaca","Uso","Acao_Conservacao","Plano_de_Acao","Listas_e_Convencoes","Altitude_min_max_","Barimetria_min_max_"
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Melipona","Melipona crinita","","Melipona crinita","Moure & Kerr, 1950","Abelha, buná-bissu-tashipaki, jandaíra-maior, maria-preguiçosa, uruçu-amarela-avermelhada, uruçu-vermelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Melipona crinita é amplamente distribuída na Amazônia e ocorre no Equador, Bolívia, Peru, Venezuela, Panamá e Brasil, sendo registrada nos estados do Acre, Amazonas e Rondônia. Apesar das ameaças identificadas em parte de sua distribuição, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, M. crinita foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Amazonas, Rondônia","|Norte|","Amazônia","Sub-bacia Madeira Sub-bacia Negro","RESEX Baixo Juruá, RESEX Rio Unini","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MAMIRAUÁ","RPPN Laço de Amor","Desconhecido","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida","1 - Alimentação humana|1.4 - Produção de mel e subprodutos","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Oxytrigona","Oxytrigona obscura","","Oxytrigona obscura","(Friese, 1900)","Abelha, sicaé-negra","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Oxytrigona obscura é amplamente distribuída na Amazônia, ocorrendo no Equador, Bolívia, Guiana, Guiana Francesa, Peru, Suriname e Brasil, onde ocorre nos estados do Acre, Amazonas, Amapá, Pará, Rondônia, Roraima e Mato Grosso. Não foram identificadas ameaças que coloquem a espécie em risco de extinção no futuro próximo. Por isso, O. obscura foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Amapá, Amazonas, Mato Grosso, Pará, Rondônia, Roraima","|Centro-Oeste|Norte|","Amazônia, Cerrado","Sub-bacia Amapá Litoral Sub-bacia Madeira Sub-bacia Negro Sub-bacia Paru Sub-bacia Tocantins Baixo","REBIO do Lago Piratuba, REBIO Rio Trombetas, RESEX Baixo Juruá","PARQUE ESTADUAL DE GUAJARÁ-MIRIM, RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MAMIRAUÁ","RPPN Laço de Amor","Desconhecido","Desconhecida","","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Nannotrigona","Nannotrigona chapadana","","Nannotrigona chapadana","(Schwarz, 1938)","Abelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Nannotrigona chapadana ocorre no Peru e Brasil, onde ocorre nos estados do Acre, Rondônia, Goiás, Mato Grosso e Mato Grosso do Sul. Apesar das ameaças identificadas em parte de sua distribuição, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, N. chapadana foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Goiás, Mato Grosso, Mato Grosso do Sul, Rondônia","|Centro-Oeste|Norte|","Amazônia, Cerrado, Pantanal","Sub-bacia Araguaia Sub-bacia Madeira","FLONA Jamari","ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES","RPPN Arara Azul","Desconhecido","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida","1 - Alimentação humana|1.4 - Produção de mel e subprodutos","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Dolichotrigona","Dolichotrigona longitarsis","","Dolichotrigona longitarsis","(Ducke, 1916)","Abelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Dolichotrigona longitarsis tem distribuição natural no domínio Amazônico. A espécie possui registros no Brasil, Guiana Francesa e Peru. No Brasil ocorre nos estados do Acre, Amazonas, Maranhão, Mato Grosso, Pará, Rondônia e Roraima. Em parte da sua distribuição a população sofre pressão antropogênica, devido à conversão de ambientes florestais em áreas de pecuária, monoculturas e construção de grande lagos de hidrelétricas. Entretanto, tais ameaças não são capazes de levá-la a um risco de extinção em um futuro próximo. Por isso, D. longitarsis foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Amazonas, Maranhão, Mato Grosso, Pará, Rondônia, Roraima","|Centro-Oeste|Nordeste|Norte|","Amazônia, Cerrado","Sub-bacia Gurupi Sub-bacia Madeira Sub-bacia Negro Sub-bacia Tocantins Baixo Sub-bacia Xingu","ESEC Cuniã, RESEX Lago do Cuniã, RESEX Rio Ouro Preto","ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE, RESERVA EXTRATIVISTA RIO CAUTÁRIO","RPPN Laço de Amor","Desconhecido","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 3 - Produção energética e mineração|3.3 - Energia renovável|3.3.1 - Hidrelétricas","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Tetragona","Tetragona clavipes","","Tetragona clavipes","(Fabricius, 1804)","Abelha, Borá, I-kàikà, Vamos-embora, Vorá","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Tetragona clavipes é amplamente distribuída na América do Sul, com registros na Bolívia, Guiana, Paraguai, Peru, Suriname, Uruguai e Brasil, onde ocorre em todas as regiões. Apesar das ameaças identificadas, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, T. clavipes foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Amapá, Amazonas, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Piauí, Rio de Janeiro, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo","|Centro-Oeste|Nordeste|Norte|Sudeste|Sul|","Amazônia, Caatinga, Cerrado, Mata Atlântica","Sub-bacia Amapá Litoral Sub-bacia Araguaia Sub-bacia Doce Sub-bacia Foz Amazonas Sub-bacia Grande Sub-bacia Gurupi Sub-bacia Iguaçu Sub-bacia Itapecuru Sub-bacia Madeira Sub-bacia Mearim Sub-bacia Negro Sub-bacia Paraíba Sub-bacia Paraíba do Sul Sub-bacia Paranaíba Sub-bacia Paranapanema Sub-bacia Paraná RH1 Sub-bacia Parnaíba Alto Sub-bacia São Francisco Alto Sub-bacia São Francisco Médio Sub-bacia Tietê Sub-bacia Tocantins Baixo Sub-bacia Uruguai Alto Sub-bacia Xingu","APA Bacia do Rio Paraíba do Sul, APA Bacia do Rio São Bartolomeu, APA Cavernas do Peruaçu, APA do Morro da Pedreira, APA Planalto Central, FLONA Altamira, FLONA Balata-Tufari, FLONA Carajás, FLONA do Tapajós, PARNA da Serra do Cipó, PARNA dos Campos Ferruginosos, PARNA Jaú, REBIO de Sooretama, RESEX Baixo Juruá","APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO, APA PIRACICABA JUQUERí-MIRIM AREA II, APA SISTEMA CANTAREIRA, ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO PANDEIROS, ÁREA DE PROTEÇÃO AMBIENTAL COCHÁ E GIBÃO, ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES, ÁREA DE PROTEÇÃO AMBIENTAL MARGEM DIREITA DO RIO NEGRO- SETOR PADUARI-SOLIMÕES, ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH, ESTAÇÃO ECOLÓGICA JATAÍ, PARQUE ESTADUAL DA CANTAREIRA, PARQUE ESTADUAL DE ITAPETINGA, PARQUE ESTADUAL MATAS DO SEGREDO, PARQUE ESTADUAL RIO NEGRO SETOR NORTE, PARQUE ESTADUAL VEREDAS DO PERUAÇU, RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO RIO NEGRO","RPPN CEFLUSMME, RPPN Chácara Mangueiras, RPPN Fazenda América, RPPN Fazenda Caetano, RPPN Laço de Amor, RPPN Seringal Assunção, RPPN Sítio Curucutu","Desconhecido","Desconhecida","2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida","1 - Alimentação humana|1.4 - Produção de mel e subprodutos","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Partamona","Partamona combinata","","Partamona combinata","Pedro & Camargo, 2003","Abelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Partamona combinata ocorre na Bolívia, Peru e Brasil, sendo registrada nos estados do Acre, Distrito Federal, Goiás, Maranhão, Minas Gerais, Mato Grosso do Sul, Mato Grosso, Pará, Rondônia, São Paulo e Tocantins. Apesar das ameaças identificadas, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, P. combinata foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Distrito Federal, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Rondônia, São Paulo, Tocantins","|Centro-Oeste|Nordeste|Norte|Sudeste|","Amazônia, Cerrado, Mata Atlântica","Sub-bacia Araguaia Sub-bacia Grande Sub-bacia Madeira Sub-bacia Paranaíba Sub-bacia Tietê Sub-bacia Tocantins Alto Sub-bacia Tocantins Baixo Sub-bacia Xingu","ESEC Cuniã, FLONA Carajás, PARNA dos Campos Ferruginosos, PARNA Serra do Divisor, REBIO Nascentes da Serra do Cachimbo, RESEX Rio Cautário, RESEX Rio Ouro Preto","APA JUNDIAí, ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES, ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES, ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU, PARQUE ESTADUAL DE GUAJARÁ-MIRIM, PARQUE ESTADUAL SERRA DOS REIS, RESERVA EXTRATIVISTA RIO CAUTÁRIO","RPPN Chakra Grisu, RPPN Linda Serra dos Topázios, RPPN Parque Natural Leonildo Ferreira 1","Desconhecido","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação de Insetos Polinizadores","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Euglossa","Euglossa perpulchra","","","Moure & Schlindwein, 2002","Abelhas das orquídeas","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Euglossa perpulchra é endêmica do Brasil ocorrendo nos estados do Rio Grande do Norte, Alagoas, Paraíba e Pernambuco. Apesar dos impactos das ameaças incidentes em parte de sua distribuição, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, E. perpulchra foi categorizada como Menos Preocupante (LC).","Sim","Não","Alagoas, Paraíba, Pernambuco, Rio Grande do Norte","|Nordeste|","Caatinga, Mata Atlântica","Sub-bacia Litoral AL PE PB Sub-bacia Litoral CE PB Sub-bacia São Francisco Baixo","REBIO Guaribas","ÁREA DE PROTEÇÃO AMBIENTAL DA MARITUBA DO PEIXE, ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ","RPPN Frei Caneca","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Geotrigona","Geotrigona subnigra","","Geotrigona subnigra","(Schwarz, 1940)","Abelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Geotrigona subnigra ocorre na Venezuela, Guiana e Brasil, sendo registrada nos estados do Amazonas e Pará. Não foram identificadas ameaças que coloquem a espécie em risco de extinção no futuro próximo. Por isso, G. subnigra foi categorizada como Menos Preocupante (LC).","Desconhecido","Não","Amazonas, Pará","|Norte|","Amazônia","Sub-bacia Negro","REBIO Rio Trombetas","","","Desconhecido","Desconhecida","","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Partamona","Partamona ferreirai","","Partamona ferreirai","Pedro & Camargo, 2003","Abelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Partamona ferreirai ocorre nas Guianas, Suriname, Venezuela, Peru, Equador, Colômbia e Brasil, onde é registrada nos estados do Amazonas, Amapá, Pará e Roraima. Não foram identificadas ameaças que coloquem a espécie em risco de extinção no futuro próximo. Por isso, P. ferreirai foi categorizada como Menos Preocupante (LC).","Não","Não","Amapá, Amazonas, Pará, Roraima","|Norte|","Amazônia","Sub-bacia Amapá Litoral Sub-bacia Negro","PARNA Anavilhanas, REBIO Rio Trombetas, RESEX Rio Unini","ÁREA DE PROTEÇÃO AMBIENTAL MARGEM DIREITA DO RIO NEGRO- SETOR PADUARI-SOLIMÕES, PARQUE ESTADUAL RIO NEGRO SETOR NORTE","RPPN Laço de Amor","Desconhecido","Desconhecida","","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Partamona","Partamona subtilis","","Partamona subtilis","Pedro & Camargo, 2003","Abelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Partamona subtilis ocorre na Bolívia, Peru e Brasil, onde é registrada no estado do Acre. Não foram identificadas ameaças que coloquem a espécie em risco de extinção no futuro próximo. Por isso, P. subtilis foi categorizada como Menos Preocupante (LC).","Não","Não","Acre","|Norte|","Amazônia","","PARNA Serra do Divisor","","","Desconhecido","Desconhecida","","","","","","",""
